Description,Gene,LB_copies_per_cell,LB_coef_of_var
50S ribosomal protein L9 OS=Escherichia coli (strain K12) GN=rplI PE=1 SV=1,rplI,83961,5.06
Elongation factor P OS=Escherichia coli (strain K12) GN=efp PE=1 SV=2,efp,38972,5.62
ATP-dependent Clp protease proteolytic subunit OS=Escherichia coli (strain K12) GN=clpP PE=1 SV=1,clpP,12106,2.22
FKBP-type peptidyl-prolyl cis-trans isomerase slyD OS=Escherichia coli (strain K12) GN=slyD PE=1 SV=1,slyD,28739,10.71
Probable glutamate/gamma-aminobutyrate antiporter OS=Escherichia coli (strain K12) GN=gadC PE=1 SV=1,gadC,88,9.20
Branched-chain-amino-acid aminotransferase OS=Escherichia coli (strain K12) GN=ilvE PE=1 SV=2,ilvE,1389,4.68
Maf-like protein yceF OS=Escherichia coli (strain K12) GN=yceF PE=3 SV=1,yceF,3657,6.80
"6,7-dimethyl-8-ribityllumazine synthase OS=Escherichia coli (strain K12) GN=ribH PE=1 SV=1",ribE,10894,1.57
DNA-directed RNA polymerase subunit omega OS=Escherichia coli (strain K12) GN=rpoZ PE=1 SV=1,rpoZ,16564,1.20
Peptidyl-prolyl cis-trans isomerase B OS=Escherichia coli (strain K12) GN=ppiB PE=1 SV=2,ppiB,3457,8.68
Uncharacterized protein ybbN OS=Escherichia coli (strain K12) GN=ybbN PE=1 SV=2,ybbN,4289,5.01
Nucleoside diphosphate kinase OS=Escherichia coli (strain K12) GN=ndk PE=1 SV=2,ndk,18896,6.86
Uncharacterized tRNA/rRNA methyltransferase YfiF OS=Escherichia coli (strain K12) GN=yfiF PE=3 SV=1,yfiF,1504,2.35
Uncharacterized protein ycfD OS=Escherichia coli (strain K12) GN=ycfD PE=4 SV=2,ycfD,972,4.40
Agmatinase OS=Escherichia coli (strain K12) GN=speB PE=1 SV=1,speB,2427,0.37
Uncharacterized protein YbgF OS=Escherichia coli (strain K12) GN=ybgF PE=1 SV=2,ybgF,1448,8.53
D-cysteine desulfhydrase OS=Escherichia coli (strain K12) GN=dcyD PE=1 SV=4,dcyD,891,0.66
Uncharacterized lipoprotein yedD OS=Escherichia coli (strain K12) GN=yedD PE=4 SV=1,yedD,2349,5.52
50S ribosomal protein L30 OS=Escherichia coli (strain K12) GN=rpmD PE=1 SV=2,rpmD,21048,1.59
Putative carboxymethylenebutenolidase OS=Escherichia coli (strain K12) GN=ysgA PE=3 SV=3,ysgA,482,21.15
50S ribosomal protein L28 OS=Escherichia coli (strain K12) GN=rpmB PE=1 SV=2,rpmB,21000,3.10
Adenine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=apt PE=1 SV=1,apt,6371,5.13
Molybdopterin molybdenumtransferase OS=Escherichia coli (strain K12) GN=moeA PE=1 SV=1,moeA,703,5.15
Carbon starvation protein A OS=Escherichia coli (strain K12) GN=cstA PE=1 SV=3,cstA,978,8.63
Imidazole glycerol phosphate synthase subunit hisH OS=Escherichia coli (strain K12) GN=hisH PE=1 SV=1,hisH,754,3.34
Uncharacterized protein yniA OS=Escherichia coli (strain K12) GN=yniA PE=3 SV=1,yniA,294,2.79
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase OS=Escherichia coli (strain K12) GN=hisA PE=1 SV=2,hisA,600,1.51
N utilization substance protein B OS=Escherichia coli (strain K12) GN=nusB PE=1 SV=1,nusB,2372,4.62
Elongation factor P-like protein OS=Escherichia coli (strain K12) GN=yeiP PE=1 SV=1,yeiP,4507,6.07
Pyrroline-5-carboxylate reductase OS=Escherichia coli (strain K12) GN=proC PE=1 SV=1,proC,813,16.63
Chromosome initiation inhibitor OS=Escherichia coli (strain K12) GN=iciA PE=1 SV=1,iciA,391,8.34
NAD-dependent deacetylase OS=Escherichia coli (strain K12) GN=cobB PE=1 SV=2,cobB,728,1.43
Delta-aminolevulinic acid dehydratase OS=Escherichia coli (strain K12) GN=hemB PE=1 SV=2,hemB,819,4.48
Bifunctional protein folC OS=Escherichia coli (strain K12) GN=folC PE=1 SV=2,folC,633,3.21
Uridylate kinase OS=Escherichia coli (strain K12) GN=pyrH PE=1 SV=2,pyrH,829,12.92
Curved DNA-binding protein OS=Escherichia coli (strain K12) GN=cbpA PE=1 SV=2,cbpA,363,10.00
Sec-independent protein translocase protein tatB OS=Escherichia coli (strain K12) GN=tatB PE=1 SV=1,tatB,1060,29.98
Protein yebF OS=Escherichia coli (strain K12) GN=yebF PE=1 SV=2,yebF,850,4.56
Ferritin-1 OS=Escherichia coli (strain K12) GN=ftnA PE=1 SV=1,ftnA,5282,16.62
UPF0070 protein yfgM OS=Escherichia coli (strain K12) GN=yfgM PE=3 SV=1,yfgM,1559,6.24
Methylisocitrate lyase OS=Escherichia coli (strain K12) GN=prpB PE=1 SV=3,prpB,36,44.93
3-deoxy-manno-octulosonate cytidylyltransferase OS=Escherichia coli (strain K12) GN=kdsB PE=1 SV=2,kdsB,913,3.12
USG-1 protein OS=Escherichia coli (strain K12) GN=usg PE=1 SV=1,usg,583,13.81
Ribonuclease 3 OS=Escherichia coli (strain K12) GN=rnc PE=1 SV=1,rnc,1224,5.55
Ribosomal RNA small subunit methyltransferase C OS=Escherichia coli (strain K12) GN=rsmC PE=1 SV=3,rsmC,502,4.88
RNA polymerase sigma-54 factor OS=Escherichia coli (strain K12) GN=rpoN PE=3 SV=2,rpoN,399,5.31
Lipoprotein nlpD OS=Escherichia coli (strain K12) GN=nlpD PE=1 SV=1,nlpD,426,5.32
Putative phosphotransferase ydiA OS=Escherichia coli (strain K12) GN=ydiA PE=1 SV=1,ppsR,357,13.59
Oxidoreductase YdhF OS=Escherichia coli (strain K12) GN=ydhF PE=1 SV=2,ydhF,478,6.05
2Fe-2S ferredoxin OS=Escherichia coli (strain K12) GN=fdx PE=1 SV=2,fdx,6442,9.41
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase OS=Escherichia coli (strain K12) GN=entA PE=1 SV=1",entA,41,31.94
Autonomous glycyl radical cofactor OS=Escherichia coli (strain K12) GN=grcA PE=1 SV=1,grcA,2365,0.62
ADP compounds hydrolase nudE OS=Escherichia coli (strain K12) GN=nudE PE=1 SV=1,nudE,565,6.61
GTP cyclohydrolase-2 OS=Escherichia coli (strain K12) GN=ribA PE=1 SV=1,ribA,529,3.05
"Probable D,D-dipeptide-binding periplasmic protein ddpA OS=Escherichia coli (strain K12) GN=ddpA PE=2 SV=1",ddpA,18,5.19
L-threonine 3-dehydrogenase OS=Escherichia coli (strain K12) GN=tdh PE=1 SV=1,tdh,2388,7.79
Fructose repressor OS=Escherichia coli (strain K12) GN=fruR PE=1 SV=1,cra,371,6.19
Spheroplast protein Y OS=Escherichia coli (strain K12) GN=spy PE=1 SV=1,spy,444,4.61
Cation/acetate symporter ActP OS=Escherichia coli (strain K12) GN=actP PE=1 SV=1,actP,113,30.99
Uncharacterized protein ygiM OS=Escherichia coli (strain K12) GN=ygiM PE=4 SV=1,ygiM,289,7.95
Ribosomal RNA large subunit methyltransferase L OS=Escherichia coli (strain K12) GN=rlmL PE=1 SV=1,rlmL,258,6.38
4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1,pdxA,178,4.57
Aerobic respiration control sensor protein ArcB OS=Escherichia coli (strain K12) GN=arcB PE=1 SV=1,arcB,122,2.17
Adenosine deaminase OS=Escherichia coli (strain K12) GN=add PE=3 SV=2,add,1603,5.95
Glutamate-ammonia-ligase adenylyltransferase OS=Escherichia coli (strain K12) GN=glnE PE=1 SV=2,glnE,29,38.62
Glycerol dehydrogenase OS=Escherichia coli (strain K12) GN=gldA PE=1 SV=1,gldA,54,36.91
1-phosphofructokinase OS=Escherichia coli (strain K12) GN=fruK PE=3 SV=1,fruK,166,18.09
Pantothenate kinase OS=Escherichia coli (strain K12) GN=coaA PE=1 SV=1,coaA,508,5.30
Probable phosphoglycerate mutase gpmB OS=Escherichia coli (strain K12) GN=gpmB PE=1 SV=1,gpmB,601,17.80
Probable O-sialoglycoprotein endopeptidase OS=Escherichia coli (strain K12) GN=gcp PE=3 SV=2,tsaD,484,7.55
Uncharacterized oxidoreductase YbdH OS=Escherichia coli (strain K12) GN=ybdH PE=3 SV=2,ybdH,509,14.11
Ribokinase OS=Escherichia coli (strain K12) GN=rbsK PE=1 SV=1,rbsK,483,13.81
tRNA-dihydrouridine synthase A OS=Escherichia coli (strain K12) GN=dusA PE=3 SV=3,dusA,436,10.22
"Ornithine decarboxylase, constitutive OS=Escherichia coli (strain K12) GN=speC PE=1 SV=2",speC,59,5.25
4-alpha-glucanotransferase OS=Escherichia coli (strain K12) GN=malQ PE=3 SV=2,malQ,84,20.19
Holliday junction ATP-dependent DNA helicase ruvB OS=Escherichia coli (strain K12) GN=ruvB PE=1 SV=1,ruvB,346,16.23
D-erythrose-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=epd PE=1 SV=2,epd,210,6.39
Trehalose-6-phosphate hydrolase OS=Escherichia coli (strain K12) GN=treC PE=3 SV=3,treC,484,42.73
L-serine dehydratase 2 OS=Escherichia coli (strain K12) GN=sdaB PE=1 SV=2,sdaB,2367,12.84
Nitrite reductase [NAD(P)H] large subunit OS=Escherichia coli (strain K12) GN=nirB PE=3 SV=4,nirB,12,45.55
Protein elaB OS=Escherichia coli (strain K12) GN=elaB PE=1 SV=1,elaB,2925,12.25
50S ribosomal protein L22 OS=Escherichia coli (strain K12) GN=rplV PE=1 SV=1,rplV,137404,1.79
10 kDa chaperonin OS=Escherichia coli (strain K12) GN=groS PE=1 SV=1,groS,42738,4.88
Flavodoxin-1 OS=Escherichia coli (strain K12) GN=fldA PE=1 SV=2,fldA,12231,4.91
RutC family protein yjgF OS=Escherichia coli (strain K12) GN=yjgF PE=1 SV=2,ridA,18215,1.99
Protein-export protein SecB OS=Escherichia coli (strain K12) GN=secB PE=1 SV=1,secB,27911,11.87
Chaperone protein skp OS=Escherichia coli (strain K12) GN=skp PE=1 SV=1,skp,13249,6.61
50S ribosomal protein L31 OS=Escherichia coli (strain K12) GN=rpmE PE=1 SV=1,rpmE,55159,9.99
UPF0135 protein ybgI OS=Escherichia coli (strain K12) GN=ybgI PE=1 SV=1,ybgI,4293,4.99
Integration host factor subunit beta OS=Escherichia coli (strain K12) GN=ihfB PE=1 SV=1,ihfB,4383,2.82
Pyridoxine 5'-phosphate synthase OS=Escherichia coli (strain K12) GN=pdxJ PE=1 SV=2,pdxJ,994,8.35
50S ribosomal protein L15 OS=Escherichia coli (strain K12) GN=rplO PE=1 SV=1,rplO,19396,4.88
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Escherichia coli (strain K12) GN=mtnN PE=1 SV=1,mtnN,3544,7.33
(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabZ PE=1 SV=1,fabZ,9123,10.89
Cytoskeleton protein rodZ OS=Escherichia coli (strain K12) GN=rodZ PE=1 SV=2,rodZ,2051,4.00
Fe/S biogenesis protein nfuA OS=Escherichia coli (strain K12) GN=nfuA PE=1 SV=1,nfuA,6623,3.99
Inhibitor of vertebrate lysozyme OS=Escherichia coli (strain K12) GN=ivy PE=1 SV=1,ivy,1180,3.42
MltA-interacting protein OS=Escherichia coli (strain K12) GN=mipA PE=1 SV=1,mipA,6840,6.13
Single-stranded DNA-binding protein OS=Escherichia coli (strain K12) GN=ssb PE=1 SV=2,ssb,8232,8.34
Uncharacterized protein yhhA OS=Escherichia coli (strain K12) GN=yhhA PE=4 SV=1,yhhA,132,15.90
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase OS=Escherichia coli (strain K12) GN=fabA PE=1 SV=2,fabA,5841,3.80
Xanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=gpt PE=1 SV=1,gpt,5762,3.07
Uncharacterized protein yiaF OS=Escherichia coli (strain K12) GN=yiaF PE=4 SV=2,yiaF,3055,1.49
Uncharacterized symporter ydjN OS=Escherichia coli (strain K12) GN=ydjN PE=3 SV=1,ydjN,971,5.22
Transcriptional regulatory protein CpxR OS=Escherichia coli (strain K12) GN=cpxR PE=1 SV=1,cpxR,875,5.79
Lipopolysaccharide export system protein lptA OS=Escherichia coli (strain K12) GN=lptA PE=1 SV=1,lptA,1496,5.55
Methionine import ATP-binding protein MetN OS=Escherichia coli (strain K12) GN=metN PE=1 SV=4,metN,674,3.78
Glycogen synthase OS=Escherichia coli (strain K12) GN=glgA PE=1 SV=1,glgA,319,3.36
Preprotein translocase subunit SecY OS=Escherichia coli (strain K12) GN=secY PE=1 SV=1,secY,1282,0.36
Ribosome-binding factor A OS=Escherichia coli (strain K12) GN=rbfA PE=1 SV=2,rbfA,3095,6.98
Cytidylate kinase OS=Escherichia coli (strain K12) GN=cmk PE=1 SV=1,cmk,1808,5.23
UPF0082 protein yebC OS=Escherichia coli (strain K12) GN=yebC PE=1 SV=1,yebC,1894,1.17
D-lactate dehydrogenase OS=Escherichia coli (strain K12) GN=ldhA PE=1 SV=1,ldhA,619,40.42
D-alanine--D-alanine ligase B OS=Escherichia coli (strain K12) GN=ddlB PE=1 SV=3,ddlB,912,1.33
Uncharacterized protein yqjH OS=Escherichia coli (strain K12) GN=yqjH PE=4 SV=1,yqjH,497,9.46
PTS system fructose-specific EIIBC component OS=Escherichia coli (strain K12) GN=fruA PE=4 SV=1,fruA,285,2.87
Galactitol-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=gatB PE=1 SV=2,gatB,30177,11.71
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] OS=Escherichia coli (strain K12) GN=otsA PE=1 SV=3",otsA,233,4.64
Transcriptional regulator slyA OS=Escherichia coli (strain K12) GN=slyA PE=3 SV=1,slyA,784,3.25
Uncharacterized metalloprotease yggG OS=Escherichia coli (strain K12) GN=yggG PE=1 SV=2,loiP,764,7.02
Probable quinol monooxygenase ygiN OS=Escherichia coli (strain K12) GN=ygiN PE=1 SV=1,ygiN,714,2.85
DNA polymerase III subunit beta OS=Escherichia coli (strain K12) GN=dnaN PE=1 SV=1,dnaN,906,6.34
Enterobactin synthase component E OS=Escherichia coli (strain K12) GN=entE PE=3 SV=3,entE,26,12.72
Uncharacterized Nudix hydrolase yfcD OS=Escherichia coli (strain K12) GN=yfcD PE=1 SV=1,yfcD,2932,12.07
Imidazole glycerol phosphate synthase subunit hisF OS=Escherichia coli (strain K12) GN=hisF PE=1 SV=1,hisF,180,4.87
Uncharacterized protein yibN OS=Escherichia coli (strain K12) GN=yibN PE=1 SV=1,yibN,3472,18.41
N-methyl-L-tryptophan oxidase OS=Escherichia coli (strain K12) GN=solA PE=1 SV=1,solA,502,3.47
Transcriptional repressor mprA OS=Escherichia coli (strain K12) GN=mprA PE=2 SV=1,mprA,1735,4.58
Oligoribonuclease OS=Escherichia coli (strain K12) GN=orn PE=1 SV=2,orn,627,7.66
Magnesium transport protein CorA OS=Escherichia coli (strain K12) GN=corA PE=1 SV=1,corA,483,5.25
Diaminopimelate decarboxylase OS=Escherichia coli (strain K12) GN=lysA PE=1 SV=1,lysA,169,3.46
Endonuclease 4 OS=Escherichia coli (strain K12) GN=nfo PE=1 SV=1,nfo,281,11.42
Protein yeeZ OS=Escherichia coli (strain K12) GN=yeeZ PE=1 SV=1,yeeZ,247,4.29
HTH-type transcriptional regulator yjdC OS=Escherichia coli (strain K12) GN=yjdC PE=1 SV=1,yjdC,323,8.05
HTH-type transcriptional regulator iscR OS=Escherichia coli (strain K12) GN=iscR PE=1 SV=1,iscR,7128,6.82
UPF0267 protein yqfB OS=Escherichia coli (strain K12) GN=yqfB PE=1 SV=1,yqfB,1070,11.01
"3,4-dihydroxy-2-butanone 4-phosphate synthase OS=Escherichia coli (strain K12) GN=ribB PE=1 SV=1",ribB,1382,18.34
Cell division topological specificity factor OS=Escherichia coli (strain K12) GN=minE PE=1 SV=1,minE,4004,6.76
"2,5-diketo-D-gluconic acid reductase B OS=Escherichia coli (strain K12) GN=dkgB PE=1 SV=2",dkgB,120,3.13
tRNA-specific 2-thiouridylase mnmA OS=Escherichia coli (strain K12) GN=mnmA PE=1 SV=4,mnmA,617,7.90
Probable pyridine nucleotide-disulfide oxidoreductase ykgC OS=Escherichia coli (strain K12) GN=ykgC PE=3 SV=2,rclA,30,8.21
Galactitol-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=gatA PE=4 SV=1,gatA,21707,6.47
Spermidine synthase OS=Escherichia coli (strain K12) GN=speE PE=1 SV=2,speE,1133,4.79
Isoaspartyl dipeptidase OS=Escherichia coli (strain K12) GN=iadA PE=1 SV=1,iadA,511,1.46
Cell division ATP-binding protein FtsE OS=Escherichia coli (strain K12) GN=ftsE PE=1 SV=1,ftsE,330,16.05
Spermidine/putrescine import ATP-binding protein PotA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1,potA,530,6.08
Uncharacterized protein yhiR OS=Escherichia coli (strain K12) GN=yhiR PE=1 SV=1,rlmJ,540,5.23
"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive OS=Escherichia coli (strain K12) GN=aroH PE=3 SV=4",aroH,175,5.61
Protein yhfA OS=Escherichia coli (strain K12) GN=yhfA PE=1 SV=1,yhfA,325,2.27
tRNA (cmo5U34)-methyltransferase OS=Escherichia coli (strain K12) GN=cmoA PE=1 SV=1,cmoA,499,4.86
Glucans biosynthesis glucosyltransferase H OS=Escherichia coli (strain K12) GN=mdoH PE=1 SV=1,mdoH,102,4.13
Outer-membrane lipoprotein lolB OS=Escherichia coli (strain K12) GN=lolB PE=1 SV=1,lolB,255,2.05
Uncharacterized protein yiiD OS=Escherichia coli (strain K12) GN=yiiD PE=4 SV=1,yiiD,200,4.25
Ribosomal large subunit pseudouridine synthase D OS=Escherichia coli (strain K12) GN=rluD PE=1 SV=4,rluD,513,10.95
Transcriptional regulatory protein BaeR OS=Escherichia coli (strain K12) GN=baeR PE=3 SV=1,baeR,188,3.96
Periplasmic AppA protein OS=Escherichia coli (strain K12) GN=appA PE=1 SV=2,appA,14,12.44
Ribosome maturation factor rimM OS=Escherichia coli (strain K12) GN=rimM PE=1 SV=1,rimM,1686,6.11
tRNA pseudouridine synthase D OS=Escherichia coli (strain K12) GN=truD PE=1 SV=1,truD,294,6.56
23S rRNA (guanosine-2'-O-)-methyltransferase RlmB OS=Escherichia coli (strain K12) GN=rlmB PE=1 SV=1,rlmB,742,5.25
Nitrogen regulation protein NR(I) OS=Escherichia coli (strain K12) GN=glnG PE=3 SV=1,glnG,70,10.28
DNA topoisomerase 4 subunit A OS=Escherichia coli (strain K12) GN=parC PE=1 SV=1,parC,268,10.30
"Magnesium-transporting ATPase, P-type 1 OS=Escherichia coli (strain K12) GN=mgtA PE=1 SV=1",mgtA,155,4.32
N5-carboxyaminoimidazole ribonucleotide synthase OS=Escherichia coli (strain K12) GN=purK PE=1 SV=2,purK,185,4.92
Uncharacterized oxidoreductase yciK OS=Escherichia coli (strain K12) GN=yciK PE=1 SV=3,yciK,237,16.76
Uncharacterized GTP-binding protein YjiA OS=Escherichia coli (strain K12) GN=yjiA PE=1 SV=3,yjiA,451,10.86
Protein ydcF OS=Escherichia coli (strain K12) GN=ydcF PE=1 SV=3,ydcF,130,7.71
Lipoprotein spr OS=Escherichia coli (strain K12) GN=spr PE=1 SV=1,mepS,417,4.77
Galactose-1-phosphate uridylyltransferase OS=Escherichia coli (strain K12) GN=galT PE=1 SV=2,galT,482,15.32
Modulator of drug activity B OS=Escherichia coli (strain K12) GN=mdaB PE=1 SV=1,mdaB,574,6.15
Glycerol-3-phosphate transporter OS=Escherichia coli (strain K12) GN=glpT PE=1 SV=1,glpT,1045,29.34
Uncharacterized protein yecA OS=Escherichia coli (strain K12) GN=yecA PE=4 SV=1,yecA,945,8.34
Right origin-binding protein OS=Escherichia coli (strain K12) GN=rob PE=1 SV=1,rob,185,16.90
Lactaldehyde reductase OS=Escherichia coli (strain K12) GN=fucO PE=1 SV=1,fucO,234,19.50
High-affinity branched-chain amino acid transport ATP-binding protein LivF OS=Escherichia coli (strain K12) GN=livF PE=1 SV=2,livF,67,6.07
Gamma-glutamylputrescine synthetase OS=Escherichia coli (strain K12) GN=puuA PE=3 SV=1,puuA,95,0.68
Uncharacterized protein yigB OS=Escherichia coli (strain K12) GN=yigB PE=4 SV=1,yigB,249,3.58
Fatty acid metabolism regulator protein OS=Escherichia coli (strain K12) GN=fadR PE=1 SV=2,fadR,428,23.56
3-dehydroquinate synthase OS=Escherichia coli (strain K12) GN=aroB PE=3 SV=1,aroB,248,7.93
UDP-N-acetylglucosamine 2-epimerase OS=Escherichia coli (strain K12) GN=wecB PE=1 SV=2,wecB,206,5.47
FMN-dependent NADH-azoreductase OS=Escherichia coli (strain K12) GN=azoR PE=1 SV=3,azoR,448,8.01
Pyrimidine-specific ribonucleoside hydrolase rihA OS=Escherichia coli (strain K12) GN=rihA PE=1 SV=2,rihA,1192,12.28
Transcriptional regulatory protein rstA OS=Escherichia coli (strain K12) GN=rstA PE=2 SV=2,rstA,278,3.32
Non-specific ribonucleoside hydrolase rihC OS=Escherichia coli (strain K12) GN=rihC PE=1 SV=1,rihC,1217,16.38
Uncharacterized protein yfiQ OS=Escherichia coli (strain K12) GN=yfiQ PE=4 SV=1,yfiQ,19,33.42
Biopolymer transport protein exbD OS=Escherichia coli (strain K12) GN=exbD PE=1 SV=1,exbD,267,4.85
Transcriptional regulator modE OS=Escherichia coli (strain K12) GN=modE PE=1 SV=1,modE,310,2.36
Chromosomal replication initiator protein dnaA OS=Escherichia coli (strain K12) GN=dnaA PE=1 SV=2,dnaA,134,12.83
Succinyl-diaminopimelate desuccinylase OS=Escherichia coli (strain K12) GN=dapE PE=1 SV=1,dapE,154,2.64
Protein gutQ OS=Escherichia coli (strain K12) GN=gutQ PE=3 SV=3,gutQ,108,10.01
Transcriptional regulatory protein CusR OS=Escherichia coli (strain K12) GN=cusR PE=1 SV=1,cusR,53,3.88
Ribosomal RNA large subunit methyltransferase M OS=Escherichia coli (strain K12) GN=rlmM PE=1 SV=1,rlmM,167,12.29
Glucans biosynthesis protein D OS=Escherichia coli (strain K12) GN=mdoD PE=1 SV=3,mdoD,100,11.93
Protease 3 OS=Escherichia coli (strain K12) GN=ptrA PE=1 SV=1,ptrA,30,11.75
tRNA dimethylallyltransferase OS=Escherichia coli (strain K12) GN=miaA PE=1 SV=2,miaA,92,5.48
Bifunctional (p)ppGpp synthase/hydrolase SpoT OS=Escherichia coli (strain K12) GN=spoT PE=1 SV=1,spoT,39,25.45
DNA translocase ftsK OS=Escherichia coli (strain K12) GN=ftsK PE=1 SV=2,ftsK,66,5.67
"PTS-dependent dihydroxyacetone kinase, ADP-binding subunit dhaL OS=Escherichia coli (strain K12) GN=dhaL PE=1 SV=3",dhaL,130,11.85
Spermidine N(1)-acetyltransferase OS=Escherichia coli (strain K12) GN=speG PE=1 SV=2,speG,161,5.29
Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=puuC PE=3 SV=2,puuC,43,12.34
UPF0394 inner membrane protein yedE OS=Escherichia coli (strain K12) GN=yedE PE=1 SV=1,yedE,19,16.06
tRNA pseudouridine synthase B OS=Escherichia coli (strain K12) GN=truB PE=1 SV=1,truB,182,9.84
Chromosome partition protein mukF OS=Escherichia coli (strain K12) GN=mukF PE=1 SV=1,mukF,122,4.59
N-acetylneuraminate lyase OS=Escherichia coli (strain K12) GN=nanA PE=1 SV=2,nanA,5950,14.59
Mrr restriction system protein OS=Escherichia coli (strain K12) GN=mrr PE=1 SV=1,mrr,119,16.47
Hydrogenase-1 large chain OS=Escherichia coli (strain K12) GN=hyaB PE=1 SV=1,hyaB,3,38.82
Thioredoxin-1 OS=Escherichia coli (strain K12) GN=trxA PE=1 SV=2,trxA,26242,5.95
Outer membrane protein slp OS=Escherichia coli (strain K12) GN=slp PE=1 SV=1,slp,421,9.32
Protein ygiW OS=Escherichia coli (strain K12) GN=ygiW PE=1 SV=1,ygiW,2167,12.58
Phosphocarrier protein HPr OS=Escherichia coli (strain K12) GN=ptsH PE=1 SV=1,ptsH,16746,3.74
Uncharacterized lipoprotein ybjP OS=Escherichia coli (strain K12) GN=ybjP PE=1 SV=1,ybjP,1174,6.17
30S ribosomal protein S19 OS=Escherichia coli (strain K12) GN=rpsS PE=1 SV=2,rpsS,51051,2.48
30S ribosomal protein S21 OS=Escherichia coli (strain K12) GN=rpsU PE=1 SV=2,rpsU,70780,3.02
Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1,clpB,423,6.66
